"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\map\presentation\bloc\bus_map_event.dart", "Dart", 30, 0, 10, 40
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\map\presentation\bloc\bus_map_state.dart", "Dart", 25, 0, 12, 37
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\map\presentation\pages\bus_map.dart", "Dart", 138, 1, 12, 151
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\map\presentation\widgets\controllers.dart", "Dart", 83, 1, 8, 92
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\qr_scanner\data\remote_data_source.dart", "Dart", 24, 0, 3, 27
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\qr_scanner\data\repostiory_implementation.dart", "Dart", 26, 0, 6, 32
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\qr_scanner\domain\repository\repostiory.dart", "Dart", 6, 0, 3, 9
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\qr_scanner\presentation\bloc\qr_scanner_bloc.dart", "Dart", 31, 1, 5, 37
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\qr_scanner\presentation\bloc\qr_scanner_event.dart", "Dart", 13, 0, 8, 21
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\qr_scanner\presentation\bloc\qr_scanner_state.dart", "Dart", 20, 0, 9, 29
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\qr_scanner\presentation\pages\border_painter.dart", "Dart", 58, 0, 6, 64
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\qr_scanner\presentation\pages\qr_scanner.dart", "Dart", 167, 0, 6, 173
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\qr_scanner\presentation\widgets\unsuccessful_dialog.dart", "Dart", 47, 0, 3, 50
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\rides\data\json_converters.dart", "Dart", 19, 0, 3, 22
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\rides\data\remote_data_source.dart", "Dart", 24, 0, 3, 27
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\rides\data\repostiory_implementation.dart", "Dart", 27, 0, 4, 31
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\rides\data\send_notification.dart", "Dart", 35, 0, 4, 39
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\rides\domain\entity\all_rides.dart", "Dart", 10, 147, 4, 161
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\rides\presentation\bloc\bus_ride_bloc.dart", "Dart", 46, 1, 8, 55
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\features\bus_mobile\rides\presentation\bloc\bus_ride_event.dart", "Dart", 12, 0, 7, 19
