"filename", "language", "C++", "CSS", "JavaScript", "JSON", "HTML", "Dart", "Markdown", "YAML", "XML", "Swift", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\contact-us.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 1, 8
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\dark_bus_loading.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\distance.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 1, 12
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\driver.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 1, 11
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\dropdown.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 1, 6
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\faq.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 1, 8
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\file-complaint.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 1, 10
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\guy_waving.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\light_bus_loading.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\live_tracking.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\loading_anim.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\map-pinpoint.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 1, 8
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\mastercard_animation.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\meter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 1, 19
